"#","g#","Cover","Album","Streams","Daily"
"","1","","Un Verano Sin Ti Bad Bunny","15,833,858,477","8,791,396"
"","2","","Divide (÷) Ed Sheeran","14,495,646,282","4,337,684"
"","3","","Starboy The Weeknd","13,429,341,618","10,138,284"
"","4","","Hollywood's Bleeding Post Malone","12,306,221,902","5,025,619"
"","5","","Dua Lipa Dua Lipa","11,993,361,060","3,948,341"
"","6","","Future Nostalgia Dua Lipa","11,938,810,819","4,501,699"
"","7","","After Hours The Weeknd","11,873,075,885","6,708,258"
"","8","","Sour Olivia Rodrigo","11,718,434,015","8,737,919"
"","9","","beerbongs & bentleys Post Malone","11,565,051,129","2,537,996"
"","10","","When We All Fall Asleep, Where Do We Go? Billie Eilish","10,716,914,811","3,606,890"
"","11","","Multiply (x) Ed Sheeran","10,459,128,471","2,626,309"
"","12","","? XXXTentacion","10,449,768,915","3,350,363"
"","13","","Purpose Justin Bieber","9,896,800,629","3,482,695"
"","14","","Scorpion Drake","9,874,122,209","2,991,082"
"","15","","YHLQMDLG Bad Bunny","9,489,730,796","4,239,666"
"","17","","Views Drake","9,341,318,645","3,710,353"
"","18","","Beauty Behind The Madness The Weeknd","9,031,225,457","4,194,718"
"","19","","Don't Smile At Me Billie Eilish","9,003,388,750","4,503,222"
"","20","","Fine Line Harry Styles","8,932,649,949","4,143,530"
"","21","","Stoney Post Malone","8,827,632,202","2,340,899"
"","22","","AM Arctic Monkeys","8,812,954,900","7,464,681"
"","23","","Goodbye & Good Riddance Juice WRLD","8,765,444,255","3,664,865"
"","24","","Astroworld Travis Scott","8,495,821,134","4,756,232"
"","25","","In The Lonely Hour Sam Smith","8,455,231,590","2,906,712"
"","27","","Divinely Uninspired To A Hellish Extent Lewis Capaldi","8,305,520,155","4,671,864"
"","28","","17 XXXTentacion","8,088,340,964","3,439,289"
"","30","","Justice Justin Bieber","7,803,830,459","3,877,848"
"","31","","Doo-Wops & Hooligans Bruno Mars","7,714,364,969","5,330,630"
"","32","","Evolve Imagine Dragons","7,698,767,130","3,492,976"
"","33","","Damn. Kendrick Lamar","7,653,917,454","4,168,729"
"","34","","Shoot For The Stars, Aim For The Moon Pop Smoke","7,535,473,849","2,973,542"
"","35","","Thank U, Next Ariana Grande","7,534,811,021","2,776,166"
"","37","","Planet Her Doja Cat","7,424,404,652","3,678,656"
"","39","","Harry's House Harry Styles","7,350,666,159","5,060,495"
"","40","","Shawn Mendes Shawn Mendes","7,202,863,556","1,807,756"
"","41","","SOS SZA","7,198,186,046","11,710,223"
"","42","","F*ck Love The Kid Laroi","7,143,172,425","2,656,196"
"","43","","Born To Die Lana Del Rey","7,068,247,169","5,459,088"
"","44","","More Life Drake","6,887,486,617","2,816,211"
"","45","","Blurryface Twenty One Pilots","6,885,049,343","3,079,001"
"","46","","Night Visions Imagine Dragons","6,797,855,812","3,302,612"
"","47","","Anti Rihanna","6,750,980,787","3,986,616"
"","48","","Illuminate Shawn Mendes","6,745,763,399","2,836,632"
"","49","","21 Adele","6,686,252,820","4,066,829"
"","50","","The Eminem Show Eminem","6,667,607,843","4,087,117"
"","51","","25 Adele","6,474,336,011","2,970,499"
"","52","","Teenage Dream Katy Perry","6,401,239,821","5,170,144"
"","53","","Dangerous Woman Ariana Grande","6,386,977,418","2,754,770"
"","54","","My Everything Ariana Grande","6,313,356,713","2,642,570"
"","55","","Hamilton Lin-Manuel Miranda & Various Artists","6,304,712,147","2,514,344"
"","56","","El Último Tour Del Mundo Bad Bunny","6,205,286,069","2,602,885"
"","57","","Legends Never Die Juice WRLD","6,144,017,395","2,086,640"
"","58","","The Fame / The Fame Monster Lady Gaga","6,067,877,745","4,854,204"
"","59","","American Teen Khalid","5,944,516,979","1,420,779"
"","60","","No.6 Collaborations Project Ed Sheeran","5,935,795,084","1,280,932"
"","61","","V Maroon 5","5,879,919,669","2,898,463"
"","62","","Nine Track Mind Charlie Puth","5,858,521,853","2,392,879"
"","63","","Luv Is Rage 2 Lil Uzi Vert","5,801,989,762","1,979,040"
"","64","","This Is Acting Sia","5,766,441,547","2,597,493"
"","65","","Death Race For Love Juice WRLD","5,732,568,499","1,921,758"
"","66","","Hozier Hozier","5,697,116,264","3,630,480"
"","67","","So Good Zara Larsson","5,695,113,811","1,851,751"
"","68","","Unorthodox Jukebox Bruno Mars","5,649,315,545","4,062,846"
"","70","","X 100pre Bad Bunny","5,642,500,290","2,176,491"
"","71","","Red Pill Blues Maroon 5","5,636,697,864","1,334,634"
"","72","","Speak Your Mind Anne-Marie","5,624,338,988","1,678,542"
"","73","","2014 Forest Hills Drive J. Cole","5,609,474,701","3,175,093"
"","74","","Montero Lil Nas X","5,592,156,624","1,824,146"
"","75","","A Star Is Born Lady Gaga & Bradley Cooper","5,546,845,842","2,235,211"
"","76","","Collage The Chainsmokers","5,473,079,730","1,680,335"
"","77","","Graduation Kanye West","5,461,603,772","5,546,476"
"","78","","Nevermind Nirvana","5,311,642,696","3,325,295"
"","79","","Love Goes Sam Smith","5,300,322,299","1,561,569"
"","80","","24K Magic Bruno Mars","5,296,243,259","2,789,032"
"","81","","Different World Alan Walker","5,211,187,038","1,539,897"
"","82","","Happier Than Ever Billie Eilish","5,137,694,672","3,283,828"
"","83","","Vida Luis Fonsi","5,127,743,616","1,018,581"
"","84","","What Is Love? Clean Bandit","5,120,454,058","1,464,363"
"","85","","Spider-Man: Into The Spider-Verse Various Artists","5,100,118,819","2,479,627"
"","86","","Good Kid, M.A.A.D City Kendrick Lamar","5,081,205,506","2,800,528"
"","87","","Rumours Fleetwood Mac","5,061,833,577","3,321,220"
"","88","","Positions Ariana Grande","5,037,444,454","2,137,275"
"","89","","Blonde Frank Ocean","5,034,662,492","4,312,523"
"","90","","The Greatest Showman Various Artists","5,017,368,416","1,807,531"
"","91","","Mañana Será Bonito Karol G","5,012,459,634","7,697,910"
"","92","","Hybrid Theory Linkin Park","4,988,350,650","3,856,510"
"","94","","Blue Jonas Blue","4,964,638,198","1,214,258"
"","95","","Overexposed Maroon 5","4,961,351,186","3,223,875"
"","96","","Birds In The Trap Sing McKnight Travis Scott","4,947,939,244","2,863,761"
"","97","","Romance Camila Cabello","4,945,148,000","2,069,404"
"","98","","Certified Lover Boy Drake","4,932,515,861","3,470,355"
"","99","","Sweetener Ariana Grande","4,845,818,331","1,356,092"
"","100","","Good Girl Gone Bad Rihanna","4,819,642,917","3,799,026"
"","101","","Cry Baby Melanie Martinez","4,795,670,162","2,583,088"
"","102","","Take Care Drake","4,766,439,842","3,152,001"
"","103","","Made In The A.M. One Direction","4,750,299,745","1,652,339"
"","104","","The Life Of Pablo Kanye West","4,739,376,836","2,942,329"
"","105","","KG0516 Karol G","4,719,480,587","2,297,386"
"","108","","Manic Halsey","4,616,779,781","1,486,219"
"","109","","Back From The Edge James Arthur","4,593,191,365","2,638,692"
"","111","","Four One Direction","4,551,251,714","2,894,311"
"","112","","Memories...Do Not Open The Chainsmokers","4,550,757,447","1,748,346"
"","113","","Handwritten Shawn Mendes","4,537,142,936","1,518,619"
"","114","","Heaven & Hell Ava Max","4,528,882,524","1,632,652"
"","115","","Invasion Of Privacy Cardi B","4,522,798,752","909,235"
"","117","","Appetite For Destruction Guns N' Roses","4,468,963,172","2,440,673"
"","118","","The Martin Garrix Collection Martin Garrix","4,467,449,376","970,811"
"","119","","Mercury - Act 1 / 2 Imagine Dragons","4,449,254,283","3,323,462"
"","120","","18 Months Calvin Harris","4,425,613,864","2,915,325"
"","121","","2001 Dr. Dre","4,408,270,366","2,328,607"
"","122","","Heroes & Villains Metro Boomin","4,405,809,847","7,068,754"
"","123","","Midnight Memories One Direction","4,401,719,327","2,509,698"
"","124","","Free Spirit Khalid","4,397,131,100","958,406"
"","126","","Get Rich Or Die Tryin' 50 Cent","4,378,532,623","3,081,818"
"","127","","Homerun Paulo Londra","4,372,760,064","1,558,777"
"","128","","Motion Calvin Harris","4,366,236,274","2,383,954"
"","129","","Vice Versa Rauw Alejandro","4,365,602,958","2,724,862"
"","130","","Thriller Michael Jackson","4,344,489,648","2,564,388"
"","131","","Recovery Eminem","4,295,394,724","2,030,023"
"","132","","Black Panther The Album Music From And Inspired By Kendrick Lamar & Various Artists","4,283,537,988","2,065,787"
"","133","","Christmas Michael Bublé","4,271,761,709","66,767"
"","134","","Stories Avicii","4,269,448,020","1,923,114"
"","136","","Harry Styles Harry Styles","4,242,014,053","1,639,320"
"","137","","The Marshall Mathers LP Eminem","4,233,943,698","2,475,115"
"","138","","A Head Full Of Dreams Coldplay","4,217,529,274","1,580,282"
"","139","","I Love You. The Neighbourhood","4,192,794,453","2,656,598"
"","140","","Cloud Nine Kygo","4,174,893,580","836,668"
"","141","","Welcome To The Madhouse Tones And I","4,169,292,737","949,198"
"","142","","Ctrl SZA","4,168,521,866","3,934,249"
"","143","","True Avicii","4,163,929,323","2,013,801"
"","144","","Dawn FM The Weeknd","4,110,881,448","3,382,609"
"","145","","Peace Is The Mission Major Lazer","4,103,084,742","1,736,045"
"","146","","Fifty Shades Of Grey Various Artists","4,089,726,500","1,460,866"
"","147","","Unapologetic Rihanna","4,084,176,213","2,880,200"
"","148","","Meteora Linkin Park","4,080,933,611","3,554,499"
"","149","","Hot Pink Doja Cat","4,030,908,647","1,714,582"
"","150","","Pure Heroine Lorde","4,027,802,418","1,705,146"
"","151","","Parachutes Coldplay","4,023,592,046","3,746,283"
"","152","","Californication Red Hot Chili Peppers","3,991,983,436","2,401,212"
"","153","","This One's For You Luke Combs","3,991,323,722","2,568,835"
"","154","","Nothing Was The Same Drake","3,965,884,907","1,445,747"
"","155","","Stay + Zedd","3,957,645,363","954,984"
"","156","","Channel Orange Frank Ocean","3,957,170,680","3,601,596"
"","157","","Camila Camila Cabello","3,921,504,805","974,624"
"","158","","Dreamland Glass Animals","3,899,277,958","1,755,418"
"","159","","Prism Katy Perry","3,894,582,656","2,087,469"
"","160","","Dream Your Life Away Vance Joy","3,881,252,361","2,194,976"
"","161","","Odisea Ozuna","3,876,289,331","1,689,964"
"","162","","Friends Keep Secrets Benny Blanco","3,859,844,756","1,260,640"
"","163","","Metallica (Black Album) Metallica","3,852,954,713","2,169,554"
"","164","","(What's The Story) Morning Glory? Oasis","3,852,404,274","1,844,614"
"","165","","Currents Tame Impala","3,850,957,400","2,996,901"
"","166","","Plus (+) Ed Sheeran","3,837,273,903","870,916"
